site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
Jerabek Comfort Station,"10150 Avenida Magnifica, 92131",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Otay Valley Regional Park Ranger Station,"2155 Beyer Boulevard, 92154",0,0,8:00am - 5:00pm,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
John F. Kennedy Comfort Station,"4825 Ocean View Bl., 92113",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Pacific Beach Recreation Center,"1405 Diamond Street, 92109",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Kate Sessions Memorial Comfort Station,"5115 Soledad Road, 92109",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Pacific Highlands Ranch Community Park Comfort Station,"5977 Village Center Loop Road, 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Kearny Mesa Comfort Station #1,"3170 Armstrong Street, 92111",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Kearny Mesa Comfort Station #2,"3170 Armstrong Street, 92111",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Kearny Mesa Pool,"3170 Armstrong Street, 92111",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Kearny Mesa Recreation Center,"3170 Armstrong Street, 92111",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Paradise Hills Comfort Station,"6610 Potomac St., 92139",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Paradise Hills Recreation Center,"6610 Potomac St., 92139",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Keiller Comfort Station,"7400 Lisbon St., 92114",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Penn Athletic Field Recreation Center (School of Creative and Performing Arts),"2425 Dusk Ave., 92139",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Kellogg (La Jolla Shores) Comfort Station North,"8300 Camino Del Oro, 92037",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Kellogg (La Jolla Shores) Comfort Station South,"8300 Camino Del Oro, 92037",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Kelly Street Comfort Station,"6640 Kelly Street, 92111",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Lake Murray Comfort Station,"7051 Murray Park Drive, 92120",0,0,Sunrise to Sunset,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Lakeview Comfort Station,"10788 Mira Lago Trail, 92131",0,0,7:00am - Dusk,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Linda Vista Comfort Station,"6842 Osler St, 92111",0,0,9:00am - 9:00pm,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Linda Vista Gymnasium,"6842 Osler St, 92111",0,0,Gym Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Linda Vista Recreation Center,"7064 Levant St., 92111",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Lindbergh Comfort Station,"4141 Ashford Street, 92111",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
San Ysidro Community Center (Casa Familiar),"247 E Park Ave., 92173",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Marie Widman Memorial Comfort Station,"6727 Imperial Ave., 92114",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Marshall Middle School Comfort Station,"9700 Avenue of Nations, 92131",0,0,Joint Use Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Serra Mesa Recreation Center,"9020 Village Glen Drive, 92123",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
"Martin Luther King, Jr. Comfort Station","6407 Skyline Dr., 92114",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
"Martin Luther King, Jr. Pool","6407 Skyline Dr., 92114",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Skyline Hills Comfort Station,"8285 Skyline Dr., 92114",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Skyline Hills Recreation Center,"8285 Skyline Dr., 92114",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
"Martin Luther King, Jr. Recreation Center","6407 Skyline Dr., 92114",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Memorial Comfort Station,"2947 Ocean View Blvd., 92113",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Memorial Dolores Magdaleno Recreation Center,"2947 Ocean View Blvd., 92113",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
South Creek Comfort Station,"12245 Wickerbay Cove, 92128",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mira Mesa Comfort Station,"8460 Mira Mesa Blvd., 92126",0,0,Senior Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
South Village Comfort Station,"9353 Oviedo Street, 92129",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Athletic Area/Bob McEvoy Field Comfort Station,"2697 Grand Ave., 92109",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Stockton Recreation Center – King Chavez Elementary School,"415 31st St., 92102",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Bonita Cove East Comfort Station,"1100 W Mission Bay Dr, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Swanson Pool,"3585 Governor Dr., 92122",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Bonita Cove West Comfort Station,"1100 W Mission Bay Dr, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Hospitality Point Comfort Station,"2536 Quivira Ct, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
East Village Green - 1330 G Street Portable Restroom,"1330 G Street, 92101",0,0,24 hrs.,3x/day Temp,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
16th Street and Imperial Avenue Portable Restrooms,"101 16th Street, 92101",0,0,24 hrs.,3x/day Temp,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
City Adminstration Building,"202 C Street, 92101",0,0,24 hrs.,6x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Mission Point Comfort Station,"2600 Bayside Ln, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Park de la Cruz Community Center,"3901 Landis St, 92105",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Park de la Cruz Gymnasium,"3901 Landis St, 92105",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Old San Ysidro Library,"101 West San Ysidro Blvd, 92173",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Tierrasanta Pool,"11238 Clairemont Mesa Bl., 92124",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Torrey Hills Comfort Station,"4262 Calle Mejillones, 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Santa Clara Point North Comfort Station,"1008 Santa Clara Pl., 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Vista Pacifica Comfort Station,"6066 Avenida de las Vistas, 92154",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Playa Pacific 1 Comfort Station,"1093 E Mission Bay Dr, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Vista Terrace Comfort Station,"301 Athey Ave., 92173",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Vista Terrace Pool,"301 Athey Ave., 92173",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Playa Pacific 2 Comfort Station,"1093 E Mission Bay Dr, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Wegeforth Elementary School Comfort Station,"3443 Ediwhar Ave., 92123",0,0,During joint use hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Playa Pacific 3 Comfort Station,"1093 E Mission Bay Dr, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
