id,site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
cae22c05-d5ea-4ab5-95ca-495997a504c3,La Jolla Athletic Area Portable Restroom,"4636 Torrey Pines Road, 92130",,,During field use,Daily,,,,City of San Diego,,,
4ee85232-dd32-4d35-99dc-113f812e2039,Mission Bay Park - Bahia Comfort Station,"Gleason Road, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
1d928073-22fb-4e40-a103-5fe8df62b137,Mount Hope Cemetery Main Office,"3700 Imperial Ave, 92113",,,8:00am - 3:30pm Mon-Fri 8:00am - 4:00pm Weekends,Daily,,,,City of San Diego,,,
dce7ce9f-6168-4181-bc54-232a374945b0,Nobel Athletic Area Comfort Station,"8810 Judicial Drive, 92121",,,24 hrs.,Daily,,,,City of San Diego,,,
fe6da889-948d-45a0-8552-8d95f06cfba0,Nobel Recreation Center,"8810 Judicial Drive, 92121",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
0995dacc-7cdf-4d86-ab3a-884d78c91d74,Ocean Beach Park - Abbott Street / Santa Monica Avenue Comfort Station,At OB Lifeguard Tower,,,24 hrs.,2x/day,,,,City of San Diego,,,
6f107c7f-d607-497a-a281-f9f2ea24848f,Ocean Beach Park - Brighton Avenue / Spray Street Comfort Station,"End of Brighton Ave, 92107",,,24 hrs.,2x/day,,,,City of San Diego,,,
b72b7053-47ca-4f2e-92f3-294b368c23b4,Ocean Beach Park - Niagara Avenue Comfort Station,Niagara Avenue,,,24 hrs.,2x/day,,,,City of San Diego,,,
b0dfdab3-6686-4f57-be8c-e84ab63f697f,Pacific Beach Drive (between Ocean Front Walk and Mission Boulevard) Comfort Station,Ocean Front Walk and Mission Boulevard,,,24 hrs.,2x/day,,,,City of San Diego,,,
984801f5-f04b-46f4-a6dd-4478eb3b8de7,Pacific Beach Park - Ocean Front Walk / Diamond Street Comfort Station,Ocean Front Walk and Diamond Street,,,24 hrs.,2x/day,,,,City of San Diego,,,
6d46f2ac-fcbe-4d5f-9acd-240c405c92a0,Pacific Beach Park - Ocean Front Walk / Grand Avenue Comfort Station,Ocean Front Walk and Grand Avenue,,,24 hrs.,2x/day,,,,City of San Diego,,,
91c18be2-2c11-4c8d-80b1-c1ae920fc283,Pacific Beach Park - Palisades - Ocean Front Walk / Law Street Comfort Station,Ocean Front Walk and Law Street,,,24 hrs.,2x/day,,,,City of San Diego,,,
3252aa6a-a44f-4549-94d8-45896cd7e6d8,Presidio Park - Cosoy Way Comfort Station,Cosoy Way,,,24 hrs.,Daily,,,,City of San Diego,,,
6e12fe19-089d-4753-887d-4dc640e7e77f,Presidio Park - Palm Canyon Comfort Station,Off Taylor Street at Palm Canyon Entrance,,,24 hrs.,2x/day,,,,City of San Diego,,,
e8590900-bd9f-42eb-9a5d-3d7d6b2e81c7,Solana Highlands Elementary Comfort Station,"3894 Long Run Dr., 92130",,,Joint Use Hours,Daily,,,,City of San Diego,,,
6efeda95-da4b-4aeb-93ad-3232d4899f15,Solana Ranch Comfort Station,"13597 Pacific Highlands Pkwy., 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
b83f1f22-5a50-4609-bd77-68102c018168,South Mission Beach - Ocean Front Walk / North Jetty Road Comfort Station,Ocean Front Walk / North Jetty Road,,,24 hrs.,2x/day,,,,City of San Diego,,,
0b062159-6cbc-49d0-be38-75784b7f876e,Sunset Cliffs Natural Park Portable Restroom,"Ladera St. Parking Lot, 92106",,,24 hrs.,2x/day,,,,City of San Diego,,,
d1aafd64-c9db-4ab5-a0f2-6706ab52489d,Torrey Meadows Comfort Station,"13516 Torrey Meadows Dr., 92129",,,24 hrs.,Daily,,,,City of San Diego,,,
4abfa275-06f9-486d-beff-d89d01caeaa4,Mission Bay Park - Fanuel Park Comfort Station,South End of Fanuel Street at Bayside Walk,,,24 hrs.,2x/day,,,,City of San Diego,,,
e20dc611-e6ec-4ef6-8ed0-4c28b07486f6,Mission Bay Park - El Carmel Comfort Station,End of El Carmel Place,,,24 hrs.,2x/day,,,,City of San Diego,,,
737b19b7-4071-4176-a5e6-674890d81b31,Mission Bay Park - North Cove Comfort Station,North end of frontage road next to Ingraham Street,,,24 hrs.,2x/day,,,,City of San Diego,,,
8ee85f77-5589-42c5-8cc7-f2ca1787aa14,Mission Bay Park - De Anza North Comfort Station,"3000 N Mission Bay Dr, San Diego, CA 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
c8c238f9-574d-4af4-a8f0-288634faaba7,Mission Bay Park - South Shores Comfort Station,"S Shores Park Driveway, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
ed5bf880-5040-4db7-8a42-b9585a83e3d1,Mission Bay Park - Vacation Isle West Comfort Station,West of Model Yacht Pond and south of Paradise Point,,,24 hrs.,2x/day,,,,City of San Diego,,,
0725396a-41b7-4922-ac99-065a177df60d,Mission Bay Park - De Anza South Comfort Station,"3000 N Mission Bay Dr, San Diego, CA 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
ad2c9e1e-3fd2-4788-8b4d-07a7df650fb5,Mission Bay Park - Ski Beach Middle Comfort Station,East side of Ingraham Street near Ski Beach parking lot,,,24 hrs.,2x/day,,,,City of San Diego,,,
a18526c5-1755-4691-b99d-1955f0f69225,Mission Bay Park - Ski Beach South Comfort Station,East side of Ingraham Street near Ski Beach parking lot,,,24 hrs.,2x/day,,,,City of San Diego,,,
c0e9c505-5581-4026-95ae-3af4421f8116,Mission Bay Park - Ski Beach North Comfort Station,East side of Ingraham Street near Ski Beach parking lot,,,24 hrs.,2x/day,,,,City of San Diego,,,
abd38353-427a-4a08-b6f0-d95bb4cb928c,Mission Trails Regional Park East Fortuna Staging Area Comfort Station,Equestrian Circle,,,24 hrs.,Daily,,,,City of San Diego,,,
f25731c0-d037-4735-815b-7eae7b03f089,Mission Trails Regional Park Visitors Center,"1 Father Junipero Serra Trail, 92119",,,Visitor Center Hours,Daily,,,,City of San Diego,,,
75496eb0-981b-46b0-9525-fd95565e8af3,Mission Trails Regional Park Kumeyaay Campground,"2 Father Junipero Serra Trail, 92119",,,24 hrs.,Daily,,,,City of San Diego,,,
bb0eb0b3-5b95-4cd6-ac49-742e14636000,Montgomery-Waller Comfort Station,"3020 Coronado Ave., 92154",,,24 hrs.,Daily,,,,City of San Diego,,,
5bb283f4-98ce-4c36-81a3-e37c7862cb79,Mission Bay Park - Vacation Isle East Comfort Station,East of Model Yacht Pond and south of Paradise Point,,,24 hrs.,2x/day,,,,City of San Diego,,,
da9fa49f-e4fc-4888-a820-1dbe4d367186,Mission Bay Park - Dana Basin Comfort Station,Next to Dana Landing Boat Ramp,,,24 hrs.,2x/day,,,,City of San Diego,,,
aa959287-ae70-404b-98be-2bda92fcc74b,Mission Bay Park - Crown Point South Comfort Station,"Crown Point Dr/Corona Oriente Rd., 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
00bc2ef1-9861-4a92-9c9e-f63bedfdfb7d,Mission Bay Park - Crown Point North Comfort Station,"Crown Point Dr/Corona Oriente Rd., 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
978509b5-4bf0-4084-8de2-68b40a8a59c5,Balboa Park - Balboa Drive and Juniper Street Comfort Station,"Balboa Drive and Juniper Street, 92103",,,24 hrs.,2x/day,,,,City of San Diego,,,
deeaf6ad-b33a-4319-bde8-8b4942a23dd5,Balboa Park - Morley Field Drive at Ball Fields Comfort Station,"Joe Schloss Way, 92104",,,24 hrs.,2x/day,,,,City of San Diego,,,
7162fff2-377b-4d55-af7d-d515703dece7,Balboa Park - Morley Field near Balboa Tennis Complex,"2221 Morley Field Drive, 92104",,,24 hrs.,2x/day,,,,City of San Diego,,,
5d443b52-764c-4bbd-bb1d-78435aa7d6c8,Balboa Park - Morley Field Velodrome Comfort Station,"2516 Pershing Drive, 92104",,,24 hrs.,2x/day,,,,City of San Diego,,,
bdf89892-480e-48aa-a9ee-f8c12582f54c,Balboa Park - Morley Field/Bocce Ball-Jacaranda Comfort Station,"Jacaranda Place, 92104",,,Closed Nightly,2x/day,,,,City of San Diego,,,
ba7dbb8e-9305-419b-a4c4-febd26200784,Balboa Park - North Pepper Grove Comfort Station,"Pepper Grove, 92101",,,24 hrs.,2x/day,,,,City of San Diego,,,
05a0e44c-05b5-4262-aa61-1f4cfe2866ee,Balboa Park - South Pepper Grove Comfort Station,"Pepper Grove, 92101",,,24 hrs.,2x/day,,,,City of San Diego,,,
2bf057bb-a250-4b2d-be54-55a980f8ffe2,Balboa Park - Spreckles Organ Pavilion Comfort Station,"2125 Pan American Road East, 92101",,,24 hrs.,2x/day,,,,City of San Diego,,,
2d86fcb0-faea-4321-b5c2-71396f4bc0e2,Black Mountain Ranch Portable Restroom,"14700 Carmel Valley Road, 92128",,,24 hrs.,Daily,,,,City of San Diego,,,
785066bb-4d92-4299-879b-3e1375de6098,Cabrillo Recreation Center,"3120 Talburt St., 92106",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
01e3bc41-95b0-45d6-9d30-e0e1ccdc17d0,Carmel Creek Comfort Station,"4260 Carmel Center Road, 92103",,,24 hrs.,Daily,,,,City of San Diego,,,
ce29bc0a-5dbc-44a2-94ec-05d1c3f21f87,Carmel del Mar Comfort Station,"12345 Carmel Park Drive, 92103",,,24 hrs.,Daily,,,,City of San Diego,,,
